context_id,budget,agent_a,agent_b,token_jaccard,sentence_jaccard,tfidf_cosine,sbert_cosine,memory_a_tokens,memory_b_tokens
longmemeval::d851d5ba,256,A_plan,A_react,0.7368421052631579,0.0,0.8380227811675911,0.9199470281600952,62,60
longmemeval::d851d5ba,512,A_cot,A_plan,0.6,0.0,0.7135416445623216,0.8952109217643738,80,84
longmemeval::d851d5ba,512,A_cot,A_react,0.5576923076923077,0.0,0.7355221726662079,0.8872320055961609,80,70
longmemeval::d851d5ba,512,A_plan,A_react,0.5576923076923077,0.0,0.6543659128511713,0.9373764395713806,84,70
longmemeval::d851d5ba,1024,A_cot,A_plan,0.54,0.0,0.5930097467238177,0.8406494855880737,84,112
longmemeval::d851d5ba,1024,A_cot,A_react,0.5217391304347826,0.0,0.6108484933821515,0.8019792437553406,84,69
longmemeval::d851d5ba,1024,A_plan,A_react,0.7346938775510204,0.0,0.6261278149427322,0.8085048198699951,112,69
longmemeval::c2ac3c61,128,A_cot,A_plan,0.47619047619047616,0.25,0.6591161770923225,0.7756179571151733,22,32
longmemeval::c2ac3c61,128,A_cot,A_react,0.4,0.0,0.5912156302932199,0.7223562002182007,22,45
longmemeval::c2ac3c61,128,A_plan,A_react,0.5666666666666667,0.0,0.709882705355881,0.8425496816635132,32,45
longmemeval::c2ac3c61,256,A_cot,A_plan,0.15151515151515152,0.0,0.3734524429028222,0.716411828994751,21,60
longmemeval::c2ac3c61,256,A_cot,A_react,0.2631578947368421,0.0,0.5041345056442459,0.8074153661727905,21,24
longmemeval::c2ac3c61,256,A_plan,A_react,0.42857142857142855,0.0,0.6316873572329503,0.7887399792671204,60,24
longmemeval::c2ac3c61,512,A_cot,A_plan,0.5,0.0,0.7527911376203762,0.8840680718421936,28,24
longmemeval::c2ac3c61,512,A_cot,A_react,0.21739130434782608,0.0,0.4547459455982005,0.8133571147918701,28,21
longmemeval::c2ac3c61,512,A_plan,A_react,0.5,0.0,0.6621739792216021,0.9392918944358826,24,21
longmemeval::c2ac3c61,1024,A_cot,A_plan,0.18518518518518517,0.0,0.3155481393042347,0.5440026521682739,65,53
longmemeval::c2ac3c61,1024,A_cot,A_react,0.3684210526315789,0.0,0.5521843491030726,0.8694772124290466,65,50
longmemeval::c2ac3c61,1024,A_plan,A_react,0.1320754716981132,0.0,0.3278236203367473,0.7092165350914001,53,50
longmemeval::gpt4_2f91af09,128,A_cot,A_plan,0.3333333333333333,0.0,0.5114682410208294,0.7250828742980957,128,128
longmemeval::gpt4_2f91af09,128,A_cot,A_react,0.4421052631578947,0.0,0.6610722970105771,0.6802971363067627,128,128
longmemeval::gpt4_2f91af09,128,A_plan,A_react,0.3364485981308411,0.0,0.5782178835604241,0.5914135575294495,128,128
longmemeval::gpt4_2f91af09,256,A_cot,A_plan,0.4444444444444444,0.0,0.49351652608526686,0.8372992277145386,96,74
longmemeval::gpt4_2f91af09,256,A_cot,A_react,0.5454545454545454,0.0,0.5731262596314112,0.8709977269172668,96,72
longmemeval::gpt4_2f91af09,256,A_plan,A_react,0.5789473684210527,0.0,0.49365646627921295,0.8290401697158813,74,72
longmemeval::gpt4_2f91af09,512,A_cot,A_plan,0.3835616438356164,0.0,0.45040077707736126,0.8354063630104065,86,92
longmemeval::gpt4_2f91af09,512,A_cot,A_react,0.5066666666666667,0.0,0.6414305351464931,0.9117010235786438,86,100
longmemeval::gpt4_2f91af09,512,A_plan,A_react,0.6451612903225806,0.0,0.6262637425562266,0.884541928768158,92,100
longmemeval::gpt4_2f91af09,1024,A_cot,A_plan,0.4024390243902439,0.0,0.5956712790436831,0.6996978521347046,65,159
longmemeval::gpt4_2f91af09,1024,A_cot,A_react,0.6111111111111112,0.6,0.7076491402580312,0.9447157382965088,65,77
longmemeval::gpt4_2f91af09,1024,A_plan,A_react,0.3404255319148936,0.0,0.47382755458289133,0.6577374935150146,159,77
longmemeval::60bf93ed_abs,128,A_cot,A_plan,0.2523364485981308,0.125,0.31703910394202633,0.3045681118965149,128,128
longmemeval::60bf93ed_abs,128,A_cot,A_react,0.3238095238095238,0.09523809523809523,0.5062974992353684,0.6490252017974854,128,128
