model,prompt_family,init_type,condition_type,round,fact_type,coarse_group,n_facts,survival_rate,survival_score_mean,ci_low,ci_high
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.2962962962962963
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,0.26666666666666666,0.26666666666666666,0.1,0.41749999999999926
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,EXACT_IDENTIFIER,EXECUTABLE,16,0.75,0.75,0.5,0.9375
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,NARRATIVE_GOAL,NARRATIVE,2,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,NARRATIVE_PROGRESS,NARRATIVE,4,0.5,0.6,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,0.08333333333333333,0.08333333333333333,0.0,0.20833333333333334
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,RUNTIME_VARIABLE,EXECUTABLE,26,0.5384615384615384,0.5384615384615384,0.34615384615384615,0.7509615384615376
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,ACTION_OUTCOME,EXECUTABLE,9,0.6666666666666666,0.7111111111111111,0.3333333333333333,0.8888888888888888
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.2962962962962963
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,0.26666666666666666,0.26666666666666666,0.1,0.4
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,EXACT_IDENTIFIER,EXECUTABLE,16,0.75,0.75,0.5,0.9375
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,NARRATIVE_GOAL,NARRATIVE,2,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,NARRATIVE_PROGRESS,NARRATIVE,4,0.5,0.6,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,0.08333333333333333,0.08333333333333333,0.0,0.20833333333333334
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,6,RUNTIME_VARIABLE,EXECUTABLE,26,0.5,0.5153846153846154,0.3076923076923077,0.6923076923076923
minimax,general_task_aware,DETAIL_HEAVY,needed,0,ACTION_OUTCOME,EXECUTABLE,4,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,0,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,0,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,0,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,0,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,0,EXACT_IDENTIFIER,EXECUTABLE,12,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,0,NARRATIVE_PROGRESS,NARRATIVE,2,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,0,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,0,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,0,RUNTIME_VARIABLE,EXECUTABLE,16,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,ACTION_OUTCOME,EXECUTABLE,4,0.5,0.6,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.9,0.9,0.75,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,EXACT_IDENTIFIER,EXECUTABLE,12,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,NARRATIVE_PROGRESS,NARRATIVE,2,0.5,0.7,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,0.875,0.875,0.6875,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,1,RUNTIME_VARIABLE,EXECUTABLE,16,0.9375,0.9625,0.8125,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,2,ACTION_OUTCOME,EXECUTABLE,4,0.5,0.6,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,2,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,0.8571428571428571,0.8571428571428571,0.6428571428571429,1.0
