case_id,model,prompt_family,condition_type,init_a,init_b,init_fact_jaccard_distance,init_type_l1_distance,init_text_distance,fin_fact_jaccard_distance,fin_type_l1_distance,fin_text_distance,contraction_fact_jaccard,contraction_type_l1,contraction_text
383cbac_1,minimax,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.0,0.88,0.5,0.49999999999999994,0.7777777777777778,50000000.0,49999999.99999999,0.8838383838383839
383cbac_1,minimax,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.1428571428571429,0.11904761904761904,0.6067864271457086,0.0,0.0,0.5894736842105264,0.0,0.0,0.9714681440443214
383cbac_1,minimax,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.07999999999999996,1.0,0.5,1.0,100000000.0,50000000.0,12.500000000000007
383cbac_1,minimax,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.1428571428571429,0.11904761904761904,0.9433962264150944,0.5,0.49999999999999994,0.7719298245614035,3.4999999999999987,4.2,0.8182456140350877
383cbac_1,minimax,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.9578059071729957,1.0,0.49999999999999994,1.0,100000000.0,49999999.99999999,1.0440528634361235
383cbac_1,minimax,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.1428571428571429,0.11904761904761904,0.5775862068965517,1.0,0.5,1.0,6.999999999999997,4.2,1.7313432835820897
383cbac_1,qwen,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.0,0.88,0.33333333333333337,0.3333333333333333,0.7647058823529411,33333333.333333336,33333333.333333332,0.8689839572192513
383cbac_1,qwen,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.2857142857142857,0.28571428571428575,0.6086956521739131,0.6,0.5,0.7,2.1,1.7499999999999998,1.15
383cbac_1,qwen,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.07999999999999996,1.0,0.5,1.0,100000000.0,50000000.0,12.500000000000007
383cbac_1,qwen,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.2857142857142857,0.28571428571428575,0.9368029739776952,0.5,0.49999999999999994,0.8170731707317074,1.75,1.7499999999999996,0.8721931862175765
383cbac_1,qwen,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.9578059071729957,1.0,0.49999999999999994,1.0,100000000.0,49999999.99999999,1.0440528634361235
383cbac_1,qwen,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.2857142857142857,0.28571428571428575,0.5829787234042554,1.0,0.5,1.0,3.5,1.7499999999999998,1.7153284671532845
383cbac_2,minimax,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.0,0.8467153284671532,0.0,0.0,0.75,0.0,0.0,0.8857758620689655
383cbac_2,minimax,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.11111111111111116,0.09722222222222224,0.5691609977324263,0.6666666666666667,0.5555555555555556,0.7753623188405797,5.999999999999998,5.7142857142857135,1.3622899705525722
383cbac_2,minimax,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.08515815085158152,1.0,0.5,1.0,100000000.0,50000000.0,11.742857142857142
383cbac_2,minimax,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.11111111111111116,0.09722222222222224,0.8814229249011858,0.6666666666666667,0.5555555555555556,0.7549019607843137,5.999999999999998,5.7142857142857135,0.856458278378616
383cbac_2,minimax,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.9292682926829269,1.0,0.5,1.0,100000000.0,50000000.0,1.0761154855643045
383cbac_2,minimax,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.11111111111111116,0.09722222222222224,0.5498783454987834,1.0,0.5,1.0,8.999999999999996,5.142857142857142,1.8185840707964602
383cbac_2,qwen,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.0,0.8467153284671532,0.2222222222222222,0.19047619047619047,0.540983606557377,22222222.22222222,19047619.047619045,0.6389202939513849
383cbac_2,qwen,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.33333333333333337,0.2777777777777778,0.5873362445414847,0.6666666666666667,0.6666666666666667,0.854368932038835,2.0,2.4000000000000004,1.454650449344931
383cbac_2,qwen,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.08515815085158152,1.0,0.5,1.0,100000000.0,50000000.0,11.742857142857142
383cbac_2,qwen,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.33333333333333337,0.2777777777777778,0.8884758364312267,0.75,0.7142857142857142,0.7938144329896908,2.2499999999999996,2.571428571428571,0.8934564120260536
383cbac_2,qwen,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.9292682926829269,1.0,0.5,1.0,100000000.0,50000000.0,1.0761154855643045
383cbac_2,qwen,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.33333333333333337,0.2777777777777778,0.5633802816901409,1.0,0.5,1.0,2.9999999999999996,1.7999999999999998,1.775
396c5a2_1,minimax,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.0,0.8550420168067226,0.11111111111111116,0.09722222222222224,0.6451612903225806,11111111.111111116,9722222.222222224,0.7545375287310772
