task_id,full_loss,no_loss,recent_loss,acon_loss,soft_loss_k4,soft_steps_k4,soft_loss_k8,soft_steps_k8,soft_loss_k16,soft_steps_k16,soft_loss_k32,soft_steps_k32,soft_loss_k64,soft_steps_k64,soft_gap_recovery_k4,soft_gap_recovery_k8,soft_gap_recovery_k16,soft_gap_recovery_k32,soft_gap_recovery_k64,recent_gap_recovery,acon_gap_recovery
4ec8de5_3,1.0123838186264038,1.8283922672271729,1.3465839624404907,,0.0010138159850612283,200,0.0003595114394556731,200,0.0002497043751645833,175,0.00027809300809167325,159,0.00032178257242776453,145,2.2394111903811353,2.2402130258850783,2.2403475919725735,2.2403128023414416,2.240259261763019,0.5904452406256963,
4fab96f_1,0.5674223303794861,1.5567864179611206,1.3610666990280151,,0.4899977445602417,200,0.23258155584335327,200,0.0036059627309441566,200,0.0013868521200492978,200,0.0006201206706464291,200,1.0782569195618352,1.3384403969570045,1.569877535202146,1.5721205018094333,1.5728954758144802,0.19782375506626243,
4fab96f_2,0.6290524005889893,1.6825146675109863,0.9151135683059692,,0.5858100056648254,200,0.36887305974960327,200,0.21469053626060486,200,0.19835242629051208,200,0.1627976894378662,200,1.0410478820950173,1.246975472220355,1.3933333706759765,1.4088423361919693,1.4425927019801332,0.7284561804450835,
50e1ac9_1,1.1285992860794067,1.7970603704452515,1.466893196105957,,0.10192424803972244,200,0.0010101310908794403,200,0.00045884045539423823,200,0.00020725344074890018,129,0.0001679516863077879,163,2.535878545590533,2.6868433800574163,2.6876680961828256,2.688044463664089,2.688103258043239,0.49392130979848625,
530b157_3,1.5481187105178833,2.4959232807159424,1.5678794384002686,,0.2073477804660797,200,0.0007829838432371616,200,0.0003913810942322016,200,0.0005183360772207379,200,0.00025902208290062845,141,2.414606947687146,2.632547231072441,2.632960399315471,2.632826452944056,2.633100047314113,0.9791510523332295,
57c3486_1,0.7364174127578735,1.452152132987976,0.967284619808197,,0.06089586019515991,200,0.001172972726635635,200,0.08734103292226791,129,0.00026262665051035583,200,0.0027757666539400816,109,1.9438155415256917,2.0272583112844704,1.9068672533126982,2.0285302155953757,2.0250189425882175,0.6774402575075558,
57c3486_2,0.9732741117477417,1.7723842859268188,1.075972080230713,,0.728022038936615,200,0.4225514531135559,200,0.3026306629180908,200,0.2696397304534912,200,0.26170438528060913,181,1.306906457627164,1.689169874729653,1.8392377803456206,1.8805223660393156,1.8904525927205538,0.8714845939879662,
57c3486_3,0.9721471667289734,1.7723103761672974,1.1885509490966797,,0.6125771403312683,200,0.3316921293735504,200,0.324958473443985,200,0.11510210484266281,200,0.001068035257048905,200,1.4493708560408645,1.8004055045282468,1.8088208576088918,2.0710878128074834,2.213601325351581,0.7295504469399295,
6171bbc_2,0.9176061153411865,1.6372510194778442,1.2888866662979126,,0.0010997598292306066,200,0.0005337551119737327,200,0.00024605923681519926,200,0.0002291258715558797,151,0.00020823896920774132,152,2.2735535960078375,2.2743401015663474,2.2747398763351323,2.2747634065028053,2.27479243040366,0.4840781212754598,
6171bbc_3,1.1638981103897095,2.0377838611602783,1.6390321254730225,,0.029143717139959335,200,0.008536666631698608,183,0.00030007577151991427,193,0.00026208479539491236,158,0.0002652054827194661,200,2.2985157296009855,2.322096673093988,2.3315219221644936,2.3315653957834326,2.3315618247361627,0.45629733101340464,
68ee2c9_2,0.9723002910614014,1.550960898399353,1.3258720636367798,,0.056383177638053894,200,0.0003639545466285199,200,0.0002751212741713971,198,0.00021016412938479334,133,0.00012435528333298862,134,2.5828226456210626,2.6796310724969374,2.6797845878241096,2.679896842129937,2.6800451308590536,0.3889824741968585,
6c2c621_1,1.6160835027694702,2.1573002338409424,1.913105845451355,,0.3250158727169037,200,0.001082116854377091,200,0.0005103613366372883,200,0.000334688404109329,156,0.0002682844060473144,153,3.385490979734827,3.9840196970958366,3.985076123264717,3.9854007121446284,3.9855234060567892,0.4511951947718695,
6c2c621_2,0.22820442914962769,0.7674992680549622,0.31294727325439453,,0.2532912492752075,200,0.23704537749290466,200,0.18219952285289764,200,0.18676245212554932,148,0.0005047981976531446,200,0.9534821802179652,0.9836064658782524,1.0853056676568817,1.0768447499111946,1.4222173373922162,0.8428636100490436,
6c2c621_3,2.1540958881378174,2.2748610973358154,2.141465187072754,,0.0006426037289202213,200,0.0002642689214553684,188,0.0002179429429816082,129,0.0001820340839913115,92,0.0001850151311373338,122,18.831735635701573,18.83486844861994,18.83525205229836,18.835549396701015,18.835524712049153,1.1045889056040559,
b119b1f_1,1.4404793977737427,2.295811653137207,1.6257688999176025,,0.0005592001252807677,200,0.00046521725016646087,200,0.0003585204540286213,156,0.00026206104666925967,133,0.00024050171487033367,106,2.6834629918599098,2.683572870652069,2.683697613750986,2.683810387946925,2.6838355937446297,0.7833713145014939,
b119b1f_2,1.0671640634536743,1.9976766109466553,1.5941025018692017,,0.0006209470448084176,200,0.0003517397854011506,200,0.00029166994499973953,194,0.00018457532860338688,135,0.0002008918672800064,146,2.1461888604107306,2.1464781711353766,2.146542726783297,2.146657818854527,2.146640283853284,0.43371162502298,
d4e9306_1,0.9449184536933899,1.7322479486465454,1.1554956436157227,,0.01650024577975273,200,0.0009060455486178398,200,0.0003195610479451716,200,0.00020281103206798434,178,0.00023558725661132485,140,2.179199069595222,2.199005516998876,2.199750420504247,2.199898706598729,2.1998570769827253,0.7325424853607679,
d4e9306_2,0.8692625164985657,1.5387543439865112,1.0915638208389282,,0.009473877027630806,200,0.022936593741178513,178,0.0003142620262224227,191,0.0002655787975527346,153,0.0002460368850734085,157,2.2842406795270636,2.2641318205973553,2.297922123609476,2.2979948402979713,2.2980240294705303,0.6679551635835836,
df61dc5_2,0.858452320098877,1.8039748668670654,1.2295736074447632,,0.07697136700153351,200,0.07105022668838501,159,0.0038068669382482767,177,0.016125082969665527,131,0.00028221678803674877,184,1.82650694662804,1.8327692407778589,1.903886910028556,1.8908589647156482,1.907614637264949,0.607496099786954,
fac291d_1,1.0633306503295898,1.7444682121276855,1.2857871055603027,,0.0005030291504226625,200,0.00032357664895243943,200,0.000337454752298072,174,0.00023914316261652857,156,0.00019428845553193241,169,2.5603714738231,2.560634933822276,2.5606145589316163,2.5607588933439223,2.5608247459845637,0.6734045107665727,
