fact_id,case_id,fact_type,passed,needed_condition_mentions_fact,unneeded_condition_mentions_fact,length_match_ok,delta_len_pct,needed_chars,unneeded_chars,elapsed_s,error,reason
4fab96f_1.fact0013,4fab96f_1,AUTH_OR_ACCESS_TOKEN,False,False,False,False,0.39,164,103,14.556285381317139,,
4fab96f_1.fact0002,4fab96f_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.18,203,167,17.229121685028076,,
4fab96f_1.fact0016,4fab96f_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.373,205,128,16.65394139289856,,
4fab96f_1.fact0015,4fab96f_1,AUTH_OR_ACCESS_TOKEN,False,False,False,False,0.0,0,0,22.237009286880493,,empty_condition_task
4fab96f_1.fact0017,4fab96f_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.333,182,122,15.87402081489563,,
4fab96f_2.fact0014,4fab96f_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.114,127,141,15.348834753036499,,
4fab96f_2.fact0015,4fab96f_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.034,237,231,17.393564462661743,,
4fab96f_2.fact0005,4fab96f_2,COMPLETED_SUBTASK,False,False,False,False,0.0,0,0,21.677865982055664,,empty_condition_task
4fab96f_2.fact0017,4fab96f_2,EXACT_IDENTIFIER,False,False,False,False,0.0,0,0,21.324337482452393,,empty_condition_task
4fab96f_2.fact0016,4fab96f_2,EXACT_IDENTIFIER,False,False,False,False,0.0,0,0,21.32392978668213,,empty_condition_task
4fab96f_2.fact0004,4fab96f_2,NUMERIC_OR_DATE_LITERAL,True,False,False,True,0.062,128,120,16.31039333343506,,
4fab96f_2.fact0013,4fab96f_2,RUNTIME_VARIABLE,False,True,False,True,0.031,128,127,17.318606853485107,,
4fab96f_2.fact0019,4fab96f_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.113,214,189,16.20753240585327,,
4fab96f_2.fact0018,4fab96f_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.196,184,150,17.87854290008545,,
50e1ac9_1.fact0015,50e1ac9_1,NARRATIVE_GOAL,False,True,True,True,0.074,110,103,13.96413779258728,,
50e1ac9_1.fact0016,50e1ac9_1,NARRATIVE_PROGRESS,True,False,False,True,0.279,174,125,16.40054678916931,,
50e1ac9_1.fact0002,50e1ac9_1,RUNTIME_VARIABLE,True,False,False,True,0.128,159,137,15.37240743637085,,
50e1ac9_1.fact0009,50e1ac9_1,RUNTIME_VARIABLE,True,False,False,True,0.235,205,159,18.798672199249268,,
50e1ac9_1.fact0005,50e1ac9_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.231,157,120,15.98690915107727,,
50e1ac9_1.fact0018,50e1ac9_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.179,159,131,17.81560468673706,,
50e1ac9_1.fact0013,50e1ac9_1,ACTION_OUTCOME,True,False,False,True,0.333,171,115,15.277871370315552,,
50e1ac9_1.fact0011,50e1ac9_1,ACTION_OUTCOME,True,False,False,True,0.025,160,156,18.681695222854614,,
530b157_3.fact0003,530b157_3,RUNTIME_VARIABLE,True,False,False,True,0.06,203,191,16.618419885635376,,
530b157_3.fact0008,530b157_3,RUNTIME_VARIABLE,False,True,False,True,0.109,220,197,16.301515579223633,,
530b157_3.fact0010,530b157_3,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.212,322,254,16.539674282073975,,
530b157_3.fact0007,530b157_3,RUNTIME_VARIABLE,True,False,False,True,0.214,227,179,15.807647705078125,,
530b157_3.fact0011,530b157_3,AUTH_OR_ACCESS_TOKEN,False,True,False,False,0.475,237,124,17.118049144744873,,
530b157_3.fact0002,530b157_3,EXACT_IDENTIFIER,True,False,False,True,0.095,255,229,18.367568731307983,,
530b157_3.fact0012,530b157_3,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.179,158,130,14.777507305145264,,
57c3486_1.fact0016,57c3486_1,NARRATIVE_PROGRESS,True,False,False,True,0.185,108,89,14.841684818267822,,
530b157_3.fact0014,530b157_3,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.059,343,321,17.981069326400757,,
57c3486_1.fact0014,57c3486_1,ACTION_OUTCOME,True,False,False,True,0.242,133,101,15.700664281845093,,
57c3486_1.fact0008,57c3486_1,AUTH_OR_ACCESS_TOKEN,False,False,False,False,0.385,105,67,15.292253494262695,,
57c3486_1.fact0009,57c3486_1,AUTH_OR_ACCESS_TOKEN,False,False,False,False,0.667,169,56,14.965852737426758,,
57c3486_1.fact0010,57c3486_1,RUNTIME_VARIABLE,True,False,False,True,0.107,115,102,17.710577487945557,,
57c3486_1.fact0003,57c3486_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.132,152,133,16.20963478088379,,
57c3486_1.fact0006,57c3486_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,True,False,False,0.653,196,71,13.947473287582397,,
57c3486_1.fact0005,57c3486_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.13,93,82,16.82162308692932,,
57c3486_1.fact0004,57c3486_1,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.0,0,0,21.945189952850342,,empty_condition_task
57c3486_2.fact0001,57c3486_2,AUTH_OR_ACCESS_TOKEN,False,False,False,False,0.569,207,89,17.16160559654236,,
57c3486_2.fact0017,57c3486_2,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.629,143,53,15.694729804992676,,
57c3486_2.fact0006,57c3486_2,EXACT_IDENTIFIER,True,False,False,True,0.136,78,90,14.225070714950562,,
57c3486_2.fact0018,57c3486_2,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.0,0,0,22.099284410476685,,empty_condition_task
57c3486_2.fact0004,57c3486_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.176,56,68,17.19187331199646,,
57c3486_2.fact0008,57c3486_2,EXACT_IDENTIFIER,True,False,False,True,0.294,51,70,17.730077505111694,,
57c3486_3.fact0014,57c3486_3,NARRATIVE_GOAL,True,False,False,True,0.059,128,139,16.31835412979126,,
57c3486_3.fact0003,57c3486_3,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.143,56,49,19.180498123168945,,
57c3486_3.fact0002,57c3486_3,EXACT_IDENTIFIER,True,False,False,True,0.333,96,64,17.836816549301147,,
57c3486_3.fact0001,57c3486_3,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.143,56,48,17.55302143096924,,
57c3486_3.fact0007,57c3486_3,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.111,72,65,15.144372701644897,,
57c3486_3.fact0012,57c3486_3,ACTION_OUTCOME,False,False,False,False,0.533,123,58,15.049294471740723,,
57c3486_3.fact0005,57c3486_3,RUNTIME_VARIABLE,False,False,False,False,0.0,0,0,21.999609231948853,,empty_condition_task
57c3486_3.fact0013,57c3486_3,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.458,192,106,15.257173776626587,,
6171bbc_2.fact0001,6171bbc_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.083,97,88,16.186944007873535,,
6171bbc_2.fact0002,6171bbc_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.078,190,204,15.58080506324768,,
6171bbc_2.fact0006,6171bbc_2,API_SCHEMA_OR_PARAMETER,False,True,False,True,0.081,148,136,16.303289651870728,,
6171bbc_2.fact0017,6171bbc_2,RUNTIME_VARIABLE,True,False,False,True,0.2,143,113,16.72000551223755,,
6171bbc_2.fact0000,6171bbc_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.324,139,95,15.997331380844116,,
6171bbc_2.fact0004,6171bbc_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.056,207,216,18.22268056869507,,
6171bbc_2.fact0016,6171bbc_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.339,224,148,15.972769021987915,,
6171bbc_3.fact0012,6171bbc_3,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.146,192,166,16.51684546470642,,
6171bbc_2.fact0015,6171bbc_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.0,0,0,22.156970262527466,,empty_condition_task
6171bbc_3.fact0013,6171bbc_3,RUNTIME_VARIABLE,True,False,False,True,0.0,165,164,17.796852827072144,,
6171bbc_3.fact0003,6171bbc_3,RUNTIME_VARIABLE,False,True,False,True,0.237,153,116,15.775197505950928,,
6171bbc_3.fact0004,6171bbc_3,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.125,130,113,16.628530502319336,,
6171bbc_3.fact0014,6171bbc_3,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.375,192,123,15.44308853149414,,
6171bbc_3.fact0010,6171bbc_3,ACTION_OUTCOME,True,False,False,True,0.174,77,92,18.83271598815918,,
6171bbc_3.fact0001,6171bbc_3,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.351,149,99,19.477540493011475,,
68ee2c9_2.fact0008,68ee2c9_2,HIGH_LEVEL_REASONING,False,True,False,True,0.102,196,176,16.65520405769348,,
68ee2c9_2.fact0006,68ee2c9_2,ENVIRONMENT_STATE,True,False,False,True,0.327,196,134,17.087188005447388,,
68ee2c9_2.fact0012,68ee2c9_2,EXACT_IDENTIFIER,True,False,False,True,0.17,215,176,15.978238582611084,,
68ee2c9_2.fact0005,68ee2c9_2,RUNTIME_VARIABLE,False,False,True,True,0.058,196,208,16.94882893562317,,
68ee2c9_2.fact0014,68ee2c9_2,RUNTIME_VARIABLE,False,False,False,False,0.477,178,95,15.739944458007812,,
