compressor_model,prompt_variant,budget_chars,round,fact_type,coarse_group,n_facts,survival_rate,survival_score_mean,ci_low,ci_high
qwen,UTCO,1500,1,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,12,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.5833333333333334
qwen,UTCO,1500,1,RUNTIME_VARIABLE,EXECUTABLE,58,0.39655172413793105,0.39655172413793105,0.26681034482758625,0.5262931034482755
qwen,UTCO,1500,2,ACTION_OUTCOME,EXECUTABLE,30,0.4666666666666667,0.4666666666666667,0.3,0.6666666666666666
qwen,UTCO,1500,2,API_SCHEMA_OR_PARAMETER,EXECUTABLE,74,0.36486486486486486,0.36486486486486486,0.25675675675675674,0.4864864864864865
qwen,UTCO,1500,2,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,76,0.10526315789473684,0.10526315789473684,0.039473684210526314,0.18421052631578946
qwen,UTCO,1500,2,COMPLETED_SUBTASK,TASK_STATE,6,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
qwen,UTCO,1500,2,ENVIRONMENT_STATE,TASK_STATE,4,1.0,1.0,1.0,1.0
qwen,UTCO,1500,2,EXACT_IDENTIFIER,EXECUTABLE,26,0.46153846153846156,0.46153846153846156,0.2692307692307692,0.6538461538461539
qwen,UTCO,1500,2,NARRATIVE_GOAL,NARRATIVE,8,0.625,0.625,0.25,0.875
qwen,UTCO,1500,2,NARRATIVE_PROGRESS,NARRATIVE,12,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.5833333333333334
qwen,UTCO,1500,2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,58,0.39655172413793105,0.39655172413793105,0.25862068965517243,0.5172413793103449
qwen,UTCO,1500,2,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,12,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.5833333333333334
qwen,UTCO,1500,2,RUNTIME_VARIABLE,EXECUTABLE,58,0.3793103448275862,0.3793103448275862,0.25862068965517243,0.5
qwen,UTCO,1500,3,ACTION_OUTCOME,EXECUTABLE,30,0.5,0.5,0.3333333333333333,0.6666666666666666
qwen,UTCO,1500,3,API_SCHEMA_OR_PARAMETER,EXECUTABLE,74,0.35135135135135137,0.35135135135135137,0.24324324324324326,0.4594594594594595
qwen,UTCO,1500,3,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,76,0.10526315789473684,0.10526315789473684,0.039473684210526314,0.17796052631578918
qwen,UTCO,1500,3,COMPLETED_SUBTASK,TASK_STATE,6,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
qwen,UTCO,1500,3,ENVIRONMENT_STATE,TASK_STATE,4,1.0,1.0,1.0,1.0
qwen,UTCO,1500,3,EXACT_IDENTIFIER,EXECUTABLE,26,0.46153846153846156,0.46153846153846156,0.2692307692307692,0.6538461538461539
qwen,UTCO,1500,3,NARRATIVE_GOAL,NARRATIVE,8,0.625,0.625,0.25,0.875
qwen,UTCO,1500,3,NARRATIVE_PROGRESS,NARRATIVE,12,0.25,0.25,0.0,0.5
qwen,UTCO,1500,3,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,58,0.3793103448275862,0.3793103448275862,0.25862068965517243,0.5
qwen,UTCO,1500,3,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,12,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.5833333333333334
qwen,UTCO,1500,3,RUNTIME_VARIABLE,EXECUTABLE,58,0.3793103448275862,0.3793103448275862,0.25862068965517243,0.5090517241379307
qwen,UTCO,1500,4,ACTION_OUTCOME,EXECUTABLE,30,0.5,0.5,0.3333333333333333,0.6666666666666666
qwen,UTCO,1500,4,API_SCHEMA_OR_PARAMETER,EXECUTABLE,74,0.35135135135135137,0.35135135135135137,0.25675675675675674,0.47297297297297297
qwen,UTCO,1500,4,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,76,0.10526315789473684,0.10526315789473684,0.039473684210526314,0.17105263157894737
qwen,UTCO,1500,4,COMPLETED_SUBTASK,TASK_STATE,6,0.5,0.5,0.16666666666666666,0.8333333333333334
qwen,UTCO,1500,4,ENVIRONMENT_STATE,TASK_STATE,4,1.0,1.0,1.0,1.0
qwen,UTCO,1500,4,EXACT_IDENTIFIER,EXECUTABLE,26,0.46153846153846156,0.46153846153846156,0.2692307692307692,0.6153846153846154
qwen,UTCO,1500,4,NARRATIVE_GOAL,NARRATIVE,8,0.625,0.625,0.25,1.0
qwen,UTCO,1500,4,NARRATIVE_PROGRESS,NARRATIVE,12,0.16666666666666666,0.16666666666666666,0.0,0.4166666666666667
qwen,UTCO,1500,4,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,58,0.3448275862068966,0.3448275862068966,0.22413793103448276,0.46551724137931033
qwen,UTCO,1500,4,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,12,0.25,0.25,0.0,0.5
qwen,UTCO,1500,4,RUNTIME_VARIABLE,EXECUTABLE,58,0.3793103448275862,0.3793103448275862,0.25862068965517243,0.5
qwen,UTCO,1500,5,ACTION_OUTCOME,EXECUTABLE,30,0.4,0.4,0.23333333333333334,0.5666666666666667
qwen,UTCO,1500,5,API_SCHEMA_OR_PARAMETER,EXECUTABLE,74,0.36486486486486486,0.36486486486486486,0.2631756756756757,0.47297297297297297
qwen,UTCO,1500,5,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,76,0.10526315789473684,0.10526315789473684,0.039473684210526314,0.18421052631578946
qwen,UTCO,1500,5,COMPLETED_SUBTASK,TASK_STATE,6,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
qwen,UTCO,1500,5,ENVIRONMENT_STATE,TASK_STATE,4,1.0,1.0,1.0,1.0
qwen,UTCO,1500,5,EXACT_IDENTIFIER,EXECUTABLE,26,0.46153846153846156,0.46153846153846156,0.2692307692307692,0.6538461538461539
qwen,UTCO,1500,5,NARRATIVE_GOAL,NARRATIVE,8,0.625,0.625,0.25,0.875
qwen,UTCO,1500,5,NARRATIVE_PROGRESS,NARRATIVE,12,0.16666666666666666,0.16666666666666666,0.0,0.4166666666666667
qwen,UTCO,1500,5,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,58,0.3275862068965517,0.3275862068965517,0.20689655172413793,0.43103448275862066
qwen,UTCO,1500,5,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,12,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.6666666666666666
qwen,UTCO,1500,5,RUNTIME_VARIABLE,EXECUTABLE,58,0.3620689655172414,0.3620689655172414,0.2413793103448276,0.4827586206896552
