compressor_model,prompt_variant,budget_chars,fact_type,round,hazard,survival_rate
qwen,UTCO,1500,NARRATIVE_PROGRESS,2,-2.999999520000058,0.3333333333333333
qwen,UTCO,1500,NARRATIVE_PROGRESS,3,0.2500000224999993,0.25
qwen,UTCO,1500,NARRATIVE_PROGRESS,4,0.3333333599999989,0.16666666666666666
qwen,UTCO,1500,NARRATIVE_PROGRESS,5,5.999999641570497e-08,0.16666666666666666
qwen,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,1,0.5862068965517242,0.41379310344827586
qwen,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,2,0.041666689826388215,0.39655172413793105
qwen,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,3,0.04347828499054762,0.3793103448275862
qwen,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,4,0.09090911487603226,0.3448275862068966
qwen,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,5,0.050000027549999326,0.3275862068965517
qwen,UTCO,1500,NUMERIC_OR_DATE_LITERAL,1,0.6666666666666667,0.3333333333333333
qwen,UTCO,1500,NUMERIC_OR_DATE_LITERAL,2,2.9999999040519754e-08,0.3333333333333333
qwen,UTCO,1500,NUMERIC_OR_DATE_LITERAL,3,2.9999999040519754e-08,0.3333333333333333
qwen,UTCO,1500,NUMERIC_OR_DATE_LITERAL,4,0.2500000224999993,0.25
qwen,UTCO,1500,NUMERIC_OR_DATE_LITERAL,5,-0.6666666000000028,0.4166666666666667
qwen,UTCO,1500,RUNTIME_VARIABLE,1,0.603448275862069,0.39655172413793105
qwen,UTCO,1500,RUNTIME_VARIABLE,2,0.04347828499054762,0.3793103448275862
qwen,UTCO,1500,RUNTIME_VARIABLE,3,2.636363560792887e-08,0.3793103448275862
qwen,UTCO,1500,RUNTIME_VARIABLE,4,2.636363560792887e-08,0.3793103448275862
qwen,UTCO,1500,RUNTIME_VARIABLE,5,0.045454570619833934,0.3620689655172414
