context_id,budget,setting,mean_jaccard,mean_sbert,n_pairs
locomo::conv-47::c7f9641c1d,128,cross:A_plan_vs_A_cot,0.39614193985022683,0.7837251292334663,9
locomo::conv-47::a2fa25a3fc,128,within:A_react,0.31258434547908237,0.6183787186940511,3
locomo::conv-47::a2fa25a3fc,128,within:A_plan,0.448837014725569,0.6258348226547241,3
locomo::conv-47::a2fa25a3fc,128,within:A_cot,0.1057040274934371,0.3887612223625183,3
locomo::conv-47::a2fa25a3fc,128,cross:A_react_vs_A_plan,0.2561376939024502,0.4902024500899845,9
locomo::conv-47::a2fa25a3fc,128,cross:A_react_vs_A_cot,0.2216602886025377,0.5345513059033288,9
locomo::conv-47::a2fa25a3fc,128,cross:A_plan_vs_A_cot,0.20397550699652398,0.465059553583463,9
locomo::conv-48::6baf315aab,128,within:A_react,0.4158441575179306,0.8850210706392924,3
locomo::conv-48::6baf315aab,128,within:A_plan,0.6232386155610632,0.9563001195589701,3
locomo::conv-48::6baf315aab,128,within:A_cot,0.8116019002094951,0.9448573986689249,3
locomo::conv-48::6baf315aab,128,cross:A_react_vs_A_plan,0.538220993709491,0.924321366680993,9
locomo::conv-48::6baf315aab,128,cross:A_react_vs_A_cot,0.5822199473274361,0.8978713353474935,9
locomo::conv-48::6baf315aab,128,cross:A_plan_vs_A_cot,0.6931171843118444,0.930351992448171,9
locomo::conv-48::9280429023,128,within:A_react,0.2865219357756671,0.5657064119974772,3
locomo::conv-48::9280429023,128,within:A_plan,0.3196598428453267,0.6044851144154867,3
locomo::conv-48::9280429023,128,within:A_cot,0.3134567901234568,0.712121824423472,3
locomo::conv-48::9280429023,128,cross:A_react_vs_A_plan,0.38567812051579176,0.6684435672230191,9
locomo::conv-48::9280429023,128,cross:A_react_vs_A_cot,0.38067105460812556,0.6768100592825148,9
locomo::conv-48::9280429023,128,cross:A_plan_vs_A_cot,0.42201077505425333,0.7168456514676412,9
locomo::conv-48::e625da96c2,128,within:A_react,0.4276140605689969,0.8770507176717123,3
locomo::conv-48::e625da96c2,128,within:A_plan,0.28196957282866136,0.6303461988766988,3
locomo::conv-48::e625da96c2,128,within:A_cot,0.1746117947035061,0.6927592158317566,3
locomo::conv-48::e625da96c2,128,cross:A_react_vs_A_plan,0.33892439691980536,0.7612380848990546,9
locomo::conv-48::e625da96c2,128,cross:A_react_vs_A_cot,0.30398020374449725,0.7984946833716499,9
locomo::conv-48::e625da96c2,128,cross:A_plan_vs_A_cot,0.2585587567395471,0.6833086080021329,9
